CURRENT  REPLACEMENT
'transcription factor activity, sequence-specific DNA binding'	'transcription factor activity'
'bacterial-type RNA polymerase transcription factor activity, sequence-specific DNA binding'	 'bacterial-type RNA polymerase transcription factor activity'
'bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding'	 'bacterial-type RNA polymerase transcriptional activator activity'
'bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding'	 'bacterial-type RNA polymerase transcriptional repressor activity'
'mitochondrial RNA polymerase transcription factor activity, sequence-specific DNA binding'	 'mitochondrial RNA polymerase transcription factor activity'
'RNA polymerase I transcription factor activity, sequence-specific DNA binding'	RNA polymerase I transcription factor activity'
'RNA polymerase II transcription factor activity, sequence-specific DNA binding'	RNA polymerase II transcription factor activity'
'RNA polymerase III transcription factor activity, sequence-specific DNA binding'	RNA polymerase III transcription factor activity'
'RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding'	RNA polymerase II transcription regulator activity, sequence-specific transcription regulatory region DNA binding'
'RNA polymerase II transcription factor activity, TBP-class protein binding'	RNA polymerase II transcription regulator activity, TBP-class protein binding'
'RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly'	RNA polymerase II transcription regulator activity, TBP-class protein binding, involved in preinitiation complex assembly'
'RNA polymerase III hybrid type promoter TFIIIB recruiting transcription factor activity'	RNA polymerase III hybrid type promoter TFIIIB recruiting transcription regulator activity'
'RNA polymerase III hybrid type promoter TFIIIB-type transcription factor activity'	RNA polymerase III hybrid type promoter TFIIIB-type transcription regulator activity'
'RNA polymerase III type 1 promoter TFIIIB-type transcription factor activity'	RNA polymerase III type 1 promoter TFIIIB-type transcription regulator activity'
'RNA polymerase III type 2 promoter TFIIIB-type transcription factor activity'	RNA polymerase III type 2 promoter TFIIIB-type transcription regulator activity'
'RNA polymerase III type 3 promoter TFIIIB-type transcription factor activity'	RNA polymerase III type 3 promoter TFIIIB-type transcription regulator activity'
'transcription factor activity, protein binding'	transcription regulator activity'
'transcription factor activity, core RNA polymerase binding'	transcription regulator activity, core RNA polymerase binding'
'transcription factor activity, core RNA polymerase I binding'	transcription regulator activity, core RNA polymerase I binding'
'transcription factor activity, core RNA polymerase II binding'	transcription regulator activity, core RNA polymerase II binding'
'transcription factor activity, core RNA polymerase II recruiting'	transcription regulator activity, core RNA polymerase II recruiting'
'transcription factor activity, core RNA polymerase III binding'	transcription regulator activity, core RNA polymerase III binding'
'transcription factor activity, estrogen-activated RNA polymerase II transcription factor binding'	transcription regulator activity, estrogen-activated RNA polymerase II transcription factor binding'
'transcription factor activity, ligand-activated RNA polymerase II transcription factor binding'	transcription regulator activity, ligand-activated RNA polymerase II transcription factor binding'
'transcription factor activity, RNA polymerase I CORE element binding transcription factor recruiting'	transcription regulator activity, RNA polymerase I CORE element binding transcription factor recruiting'
'transcription factor activity, RNA polymerase I transcription factor binding'	transcription regulator activity, RNA polymerase I transcription factor binding'
'transcription factor activity, RNA polymerase I transcription factor recruiting'	transcription regulator activity, RNA polymerase I transcription factor recruiting'
'transcription factor activity, RNA polymerase II basal transcription factor binding'	transcription regulator activity, RNA polymerase II basal transcription factor binding'
'transcription factor activity, RNA polymerase II transcription factor binding'	transcription regulator activity, RNA polymerase II transcription factor binding'
