LEGACY - this was not implemented exactly in this way. So tickets in https://github.com/geneontology/go-ontology/projects/7

obo_id	old_label	new_label	new_def	old_def
GO:0003700	transcription factor activity, sequence-specific DNA binding	transcription factor activity	Direct regulation of DNA-templated transcription via sequence-specific DNA binding and selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0001130	bacterial-type RNA polymerase transcription factor activity, sequence-specific DNA binding	bacterial-type RNA polymerase transcription factor activity	Direct regulation of transcription by bacterial RNA polymerase via sequence-specific DNA binding and selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by bacterial-type RNA polymerase. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0001216	bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding	bacterial-type RNA polymerase transcriptional activator activity	Direct positive regulation of transcription by bacterial RNA polymerase via sequence-specific DNA binding and selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with a specific DNA sequence in order to activate or increase the frequency, rate or extent of transcription by bacterial-type RNA polymerase. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0001217	bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding	bacterial-type RNA polymerase transcriptional repressor activity	Direct negative regulation of transcription by bacterial RNA polymerase via sequence-specific DNA binding and selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with a specific DNA sequence in order to stop, prevent, or reduce the frequency, rate or extent of transcription by bacterial-type RNA polymerase. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0001142	mitochondrial RNA polymerase transcription factor activity, sequence-specific DNA binding	mitochondrial RNA polymerase transcription factor activity	Direct regulation of transcription by mitochondrial RNA polymerase via sequence-specific DNA binding and selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by mitochondrial RNA polymerase. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0001167	RNA polymerase I transcription factor activity, sequence-specific DNA binding	RNA polymerase I transcription factor activity	Direct regulation of transcription by RNA polymerase I via sequence-specific DNA binding and selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase I. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	RNA polymerase II transcription factor activity	Direct regulation of transcription by RNA polymerase II via sequence-specific DNA binding and selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0001034	RNA polymerase III transcription factor activity, sequence-specific DNA binding	RNA polymerase III transcription factor activity	Direct regulation of transcription by RNA polymerase III via sequence-specific DNA binding and selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase III. The transcription factor may or may not also interact selectively with a protein or macromolecular complex.
GO:0000988	transcription factor activity, protein binding	transcription regulator activity	Direct regulation of DNA-templated transcription via selective, non-covalent interaction with elements of the transcription initiation complex or associated proteins. Associated proteins include any protein capable of interacting, directly or indirectly with the transcription initiation complex.	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules), in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0000990	transcription factor activity, core RNA polymerase binding	transcription regulator activity, core RNA polymerase binding	Direct regulation of DNA-templated transcription via selective, non-covalent interaction with RNA polymerase core enzyme.	Interacting selectively and non-covalently with an RNA polymerase in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0001181	transcription factor activity, core RNA polymerase I binding	transcription regulator activity, core RNA polymerase I binding	Direct regulation of DNA-templated transcription via selective, non-covalent interaction with RNA polymerase I core enzyme.	Interacting selectively and non-covalently with an RNA polymerase I (RNAP I) complex, typically composed of fourteen subunits, in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0000991	transcription factor activity, core RNA polymerase II binding	transcription regulator activity, core RNA polymerase II binding	Direct regulation of DNA-templated transcription via selective, non-covalent interaction with RNA polymerase II core enzyme.	Interacting selectively and non-covalently with an RNA polymerase II (Pol II) complex, typically composed of twelve subunits, in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0001139	transcription factor activity, core RNA polymerase II recruiting	transcription regulator activity, core RNA polymerase II recruiting	Direct regulation of DNA-templated transcription via Interacting selectively and non-covalently with an RNA polymerase II (Pol II) complex, typically composed of twelve subunits, and with another protein, macromolecule, or complex, permitting those molecules to function in a coordinated way in order to facilitate the aggregation, arrangement and bonding together of proteins on an RNA polymerase II promoter DNA to form the transcriptional preinitiation complex (PIC). The formation of the PIC is a prerequisite for transcription by RNA polymerase.	Interacting selectively and non-covalently with an RNA polymerase II (Pol II) complex, typically composed of twelve subunits, and with another protein, macromolecule, or complex, permitting those molecules to function in a coordinated way in order to facilitate the aggregation, arrangement and bonding together of proteins on an RNA polymerase II promoter DNA to form the transcriptional preinitiation complex (PIC), the formation of which is a prerequisite for transcription by RNA polymerase.
GO:0000995	transcription factor activity, core RNA polymerase III binding	transcription regulator activity, core RNA polymerase III binding	Direct regulation of DNA-templated transcription via selective, non-covalent interaction with RNA polymerase III core enzyme.	Interacting selectively and non-covalently with an RNA polymerase III (Pol III) complex, typically composed of seventeen subunits, in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0038049	transcription factor activity, ligand-activated RNA polymerase II transcription factor binding	ligand-activated transcription regulator activity, RNA polymerase II transcription factor binding		Combining with a signal and transmitting the signal to the transcriptional machinery by interacting selectively and non-covalently with an RNA polymerase II transcription factor, which may be a single protein or a complex, in order to modulate transcription. For example, some steroid hormone receptors bind to transcription factor complexes to regulate transcription of genes whose promoters do not contain hormone response elements.
GO:0001187	transcription factor activity, RNA polymerase I CORE element binding transcription factor recruiting	transcription factor activity, RNA polymerase I CORE element binding, transcription factor recruiting	Direct regulation of transcription by RNA polymerase I by interacting selectively and non-covalently with the CORE element, a regulatory region composed of the transcription start site and binding sites for transcription factors of the RNA polymerase I transcription machinery and also binding to an RNA polymerase I (RNAP I) transcription factor to recruit it to the transcription machinery complex .	Interacting selectively and non-covalently with the CORE element, a regulatory region composed of the transcription start site and binding sites for transcription factors of the RNA polymerase I transcription machinery and also binding to an RNA polymerase I (RNAP I) transcription factor to recruit it to the transcription machinery complex in order to modulate transcription by RNA polymerase I.
GO:0001082	transcription factor activity, RNA polymerase I transcription factor binding	transcription regulator activity, RNA polymerase I transcription factor binding	Direct regulation of transcription by RNA polymerase I by selective, non-covalent interaction with an RNA polymerase I transcription regulator.	Interacting selectively and non-covalently with an RNA polymerase I transcription factor, which may be a single protein or a complex, in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0001186	transcription factor activity, RNA polymerase I transcription factor recruiting	transcription regulator activity, RNA polymerase I transcription factor recruiting	Direct regulation of transcription by RNA polymerase I via selective, non-covalent interaction with an RNA polymerase I transcription regulator.	The function of binding to an RNA polymerase I (RNAP I) transcription factor and recruiting it to the transcription machinery complex in order to modulate transcription by RNAP I.
GO:0001083	transcription factor activity, RNA polymerase II basal transcription factor binding	transcription regulator activity, RNA polymerase II basal transcription factor binding	Direct regulation of transcription by RNA polymerase I via selective, non-covalent interaction with an RNA polymerase I transcription regulator.	Interacting selectively and non-covalently with a basal RNA polymerase II transcription factor, which may be a single protein or a complex, in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0001076	transcription factor activity, RNA polymerase II transcription factor binding	transcription regulator activity, RNA polymerase II transcription regulator binding	Direct regulation of RNA  polymerase II transcription via selective, non-covalent interaction with an RNA polymerase II transcription regulator.	Interacting selectively and non-covalently with an RNA polymerase II transcription factor, which may be a single protein or a complex, in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0001135	transcription factor activity, RNA polymerase II transcription factor recruiting	transcription regulator activity, RNA polymerase II transcription factor recruiting	Direct regulation of RNA  polymerase II transcription via selective, non-covalent interaction with an RNA polymerase II (RNAP II) transcription factor, recruiting it to the transcription machinery complex.	The function of binding to an RNA polymerase II (RNAP II) transcription factor and recruiting it to the transcription machinery complex in order to modulate transcription by RNAP II.
GO:0001004	transcription factor activity, RNA polymerase III promoter sequence-specific binding, TFIIIB recruiting	transcription regulator activity, RNA polymerase III promoter sequence-specific binding, TFIIIB recruiting	Direct regulation of RNA  polymerase III transcription via selective, non-covalent interaction with a specific DNA sequence motif in an RNA polymerase III (Pol III) promoter in order to recruit the Pol III recruiting factor TFIIIB to the promoter.	The function of binding to a specific DNA sequence motif in an RNA polymerase III (Pol III) promoter in order to recruit the Pol III recruiting factor TFIIIB to the promoter.
GO:0001007	transcription factor activity, RNA polymerase III transcription factor binding	transcription regulator activity, RNA polymerase III transcription factor binding	Direct regulation of RNA  polymerase III transcription via selective, non-covalent interaction with an RNA polymerase III transcription regulator.	Interacting selectively and non-covalently with an RNA polymerase III transcription factor, which may be a single protein or a complex, in order to modulate transcription. A protein binding transcription factor may or may not also interact with the template nucleic acid (either DNA or RNA) as well.
GO:0001153	transcription factor activity, RNA polymerase III transcription factor recruiting	transcription regulator activity, RNA polymerase III transcription factor recruiting		The function of binding to an RNA polymerase III (RNAP III) transcription factor and recruiting it to the transcription machinery complex in order to modulate transcription by RNAP III.
GO:0001005	transcription factor activity, RNA polymerase III type 1 promoter sequence-specific binding, TFIIIB recruiting	transcription regulator activity, RNA polymerase III type 1 promoter sequence-specific binding, TFIIIB recruiting		The function of binding to a specific DNA sequence motif in a type 1 RNA polymerase III (Pol III) promoter in order to recruit the Pol III recruiting factor TFIIIB to the promoter. For type 1 Pol III promoters, this requires both TFIIIA and TFIIIC.
GO:0001152	transcription factor activity, RNA polymerase III type 1 promoter sequence-specific binding, TFIIIC recruiting	transcription regulator activity, RNA polymerase III type 1 promoter sequence-specific binding, TFIIIC recruiting		The function of binding to a specific DNA sequence motif in a type 1 RNA polymerase III (Pol III) promoter in order to recruit the transcription factor TFIIIC to the promoter.
GO:0001008	transcription factor activity, RNA polymerase III type 2 promoter sequence-specific binding, TFIIIB recruiting	transcription regulator activity, RNA polymerase III type 2 promoter sequence-specific binding, TFIIIB recruiting		Interacting selectively and non-covalently with a specific DNA sequence motif in a type 2 RNA polymerase III (Pol III) promoter in order to recruit TFIIIB to the promoter. For type 2 Pol III promoters, this requires TFIIIC activity.
GO:0001033	transcription factor activity, RNA polymerase III type 3 promoter TFIIIB recruiting	transcription regulator activity, RNA polymerase III type 3 promoter TFIIIB recruiting		The function of binding to a specific DNA sequence motif in a type 3 RNA polymerase III (Pol III) promoter in order to recruit TFIIIB to the promoter. For type 3 Pol III promoters, this requires SNAPc activity.
GO:0001010	transcription factor activity, sequence-specific DNA binding transcription factor recruiting	transcription regulator activity, sequence-specific DNA binding transcription factor recruiting		The function of binding to a specific DNA sequence and recruiting another transcription factor to the DNA in order to modulate transcription. The recruited factor may bind DNA directly, or may be colocalized via protein-protein interactions.
GO:0001086	transcription factor activity, TFIIA-class binding	transcription regulator activity, TFIIA-class binding	Direct regulation of DNA-templated transcription via selective, non-covalent interaction with a a basal RNA polymerase II transcription factor of the TFIIA class.	Interacting selectively and non-covalently with a basal RNA polymerase II transcription factor of the TFIIA class in order to modulate transcription. The transcription factor may or may not also interact selectively with DNA as well.
GO:0001087	transcription factor activity, TFIIB-class binding	transcription regulator activity, TFIIB-class binding	Direct regulation of DNA-templated transcription via selective, non-covalent interaction with a a basal RNA polymerase II transcription factor of the TFIIB class.	Interacting selectively and non-covalently with a basal RNA polymerase II transcription factor of the TFIIB class in order to modulate transcription. The transcription factor may or may not also interact selectively with DNA as well.
GO:0001084	transcription factor activity, TFIID-class binding	transcription regulator activity, TFIID-class binding	Direct regulation of DNA-templated transcription via selective, non-covalent interaction with a a basal RNA polymerase II transcription factor of the TFIID class.	Interacting selectively and non-covalently with a basal RNA polymerase II transcription factor of the TFIID class in order to modulate transcription. The transcription factor may or may not also interact selectively with DNA as well.
